Asistencia,Participación,Notas Exámenes,Entrega Tareas,Interacciones,Tiempo Estudio,Retroalimentación,Aprendizaje Suficiente
Alta,Alta,Buenas,Sí,Sí,3 horas/día,Sí,Sí
Baja,Baja,Regulares,No,No,1 hora/día,No,No
Alta,Media,Buenas,Sí,Sí,2 horas/día,Sí,Sí
Media,Alta,Excelentes,Sí,Sí,4 horas/día,Sí,Sí
Alta,Alta,Regulares,Sí,Sí,3 horas/día,Sí,Sí
Media,Media,Regulares,No,No,2 horas/día,No,No
Baja,Alta,Buenas,Sí,Sí,3 horas/día,Sí,Sí
Alta,Baja,Regulares,No,Sí,1 hora/día,No,No
Media,Alta,Buenas,Sí,Sí,3 horas/día,Sí,Sí
Baja,Media,Excelentes,Sí,Sí,4 horas/día,Sí,Sí
Alta,Alta,Regulares,Sí,Sí,2 horas/día,Sí,Sí
Media,Media,Regulares,No,No,1 hora/día,No,No
Baja,Alta,Buenas,Sí,Sí,3 horas/día,Sí,Sí
Alta,Baja,Excelentes,Sí,Sí,4 horas/día,Sí,Sí
Media,Alta,Buenas,Sí,Sí,3 horas/día,Sí,Sí
Baja,Media,Regulares,No,No,2 horas/día,No,No
